Datasets,RandomGhosts,Legacy
1,4780,5910
2,3640,13080
3,4610,12150
4,3010,6780
5,6260,3520
6,6820,5440
7,5240,15100
8,3170,8720
9,3910,5110
10,5130,15330
11,5240,13490
12,3260,5960
13,8550,6700
14,6370,13570
15,3240,5860
16,3760,5920
17,3840,15630
18,2770,12540
19,4330,16160
20,3520,5560
21,4590,9220
22,5130,8040
23,5040,10770
24,4330,9800
25,5760,7740
26,6600,5270
27,4420,9520
28,4530,14480
29,3910,11360
30,5380,11790
31,4650,9470
32,6040,12330
33,4790,9010
34,4520,14150
35,4650,6980
36,1650,9520
37,4470,9820
38,6360,5160
39,7200,16950
40,4590,8600
41,3840,8710
42,1420,9830
43,4240,10410
44,4840,5820
45,2270,5090
46,10750,3690
47,2520,9040
48,2690,8380
49,8180,11380
50,4830,5670
51,6760,8790
52,2050,7150
53,3800,5560
54,1810,14680
55,4040,13080
56,3710,11360
57,6950,9850
58,5640,4550
59,8630,14400
60,7640,16110
61,6570,6940
62,7130,5860
63,4330,5690
64,5250,13550
65,5320,14550
66,2810,2910
67,2670,13640
68,6380,14680
69,2080,6320
70,1910,4060
71,3340,12750
72,4290,15320
73,8020,5770
74,3530,16570
75,3440,8400
76,1650,9570
77,4480,5140
78,4390,10440
79,4430,7540
80,4720,13600
81,4330,11970
82,6260,18030
83,8790,6160
84,2050,5970
85,4180,6580
86,6000,6770
87,5110,5780
88,1650,18150
89,4480,6190
90,3330,7940
91,4300,13610
92,6270,5540
93,4040,14430
94,9010,11870
95,4330,7080
96,4230,8730
97,3260,16130
98,6980,12570
99,4320,9260
100,5770,14440
