Datasets,RandomGhosts,Legacy
1,5110,5560
2,7640,9200
3,6380,12470
4,3410,5480
5,4640,8770
6,6540,8300
7,3740,9710
8,2270,18130
9,8130,7470
10,8440,9450
11,5180,15750
12,4940,5890
13,4330,9230
14,3680,5160
15,6150,5900
16,5130,12190
17,2580,12320
18,4240,13090
19,1740,5800
20,6840,5860
21,12880,7080
22,5600,4270
23,4090,5060
24,5640,8430
25,7150,10940
26,5200,15950
27,5240,6750
28,3470,7170
29,6840,9820
30,5240,4760
31,1540,5960
32,9560,14350
33,4500,14990
34,4440,6460
35,4400,8330
36,4040,15080
37,9590,12280
38,5630,12290
39,4330,4240
40,3500,9260
41,4330,4780
42,4640,8760
43,4330,16280
44,3660,4780
45,5220,11740
46,6040,9620
47,4440,16080
48,4520,3780
49,6040,9610
50,6450,5920
51,4730,7780
52,4450,7970
53,1670,8280
54,1380,9220
55,4310,5120
56,3690,5720
57,4710,13170
58,7380,10960
59,1750,5960
60,4330,7100
61,4330,15240
62,4740,5880
63,6060,5130
64,5580,7940
65,4860,5930
66,2190,11950
67,4740,10840
68,6330,8930
69,4330,5600
70,5240,5610
71,2450,8400
72,3640,11830
73,5370,5930
74,5740,15910
75,8190,4870
76,7320,15600
77,12300,5120
78,4710,5500
79,8740,5180
80,2660,11970
81,4920,8670
82,3090,6800
83,3490,17280
84,4440,6340
85,6240,6620
86,4330,14480
87,4980,5860
88,4670,5760
89,4330,11890
90,5530,5930
91,4590,7430
92,1650,6110
93,6540,4110
94,5680,6390
95,6840,16570
96,4240,13620
97,4420,6590
98,2810,7100
99,4880,4760
100,4330,5760
101,2050,15320
102,7280,17840
103,4540,15480
104,4130,5180
105,7210,10410
106,6470,6190
107,6790,8400
108,12880,15170
109,4080,8410
110,4110,6220
111,4440,7190
112,7870,13120
113,4090,7400
114,3540,7840
115,5780,13950
116,7430,5800
117,4550,14280
118,2050,10830
119,5650,8740
120,5690,13950
121,4870,6650
122,5110,9320
123,4720,7850
124,5370,14130
125,6460,8700
126,4850,6520
127,5040,6970
128,2720,6350
129,5450,8540
130,1860,13530
131,3950,9920
132,6260,7360
133,6330,16160
134,4610,4940
135,7330,12450
136,2840,7530
137,4470,9160
138,9260,9590
139,4940,12480
140,4740,5570
141,5780,7870
142,4510,5740
143,7300,5460
144,4040,8650
145,4720,8780
146,4410,7090
147,2260,11390
148,2880,13080
149,1910,5920
150,6690,10380
151,6840,4130
152,11060,7560
153,6040,6170
154,4330,7960
155,4580,13130
156,7190,14170
157,4840,13640
158,5040,6380
159,5440,15150
160,12330,10440
161,8440,8710
162,3910,4380
163,2890,7520
164,6240,6770
165,5350,15280
166,7640,4770
167,5890,16230
168,6640,14090
169,7680,13880
170,4850,6230
171,11770,5180
172,4330,12550
173,4840,9960
174,6410,4570
175,1650,9310
176,5660,20560
177,6240,4530
178,4330,11130
179,15020,8430
180,4170,6780
181,5180,10580
182,4460,12420
183,1910,17780
184,2960,7290
185,1650,13360
186,3870,8850
187,4730,15950
188,8440,13830
189,5760,5800
190,4190,13830
191,3320,16500
192,5560,8220
193,4330,8250
194,4570,8980
195,3060,5150
196,6440,5730
197,4040,7580
198,5960,5920
199,4670,5190
200,7640,15320
201,12240,10890
202,6040,6970
203,2700,17270
204,4840,5970
205,6040,15950
206,2330,15130
207,6450,19570
208,2080,9310
209,5680,7940
210,5110,7660
211,1400,11270
212,4190,15680
213,8440,12930
214,12460,6680
215,5770,5550
216,5220,5280
217,4530,3700
218,6240,5370
219,5550,5970
220,1660,6310
221,5180,7120
222,6190,7930
223,9300,8660
224,3530,11620
225,6180,13080
226,1690,5660
227,2700,14280
228,2050,5800
229,2720,13320
230,3500,13920
231,4540,10110
232,2510,5580
233,4170,15880
234,3190,10340
235,6920,15510
236,4220,15290
237,3840,7970
238,2940,7720
239,3310,5260
240,2850,8150
241,10270,6960
242,6630,9460
243,11750,6270
244,8950,5520
245,1860,9580
246,4640,6670
247,5910,4430
248,5700,7960
249,2760,6600
250,2810,16850
251,3770,13080
252,3680,4540
253,3550,9690
254,5290,14750
255,2140,15880
256,6040,6560
257,3780,13460
258,3740,3490
259,2120,16430
260,6730,5170
261,3950,5490
262,4330,5860
263,7100,6770
264,7240,7560
265,4050,6370
266,4440,17750
267,6930,14440
268,8790,5670
269,4270,6780
270,3440,5430
271,5590,9220
272,7440,6550
273,7240,9110
274,3910,5940
275,6080,13480
276,7260,5650
277,4030,20010
278,4120,12320
279,5330,12890
280,9040,15320
281,7790,7180
282,6140,17150
283,6440,6380
284,4960,8030
285,6780,12880
286,4040,9080
287,7190,6330
288,4460,9560
289,8440,14550
290,2830,13800
291,5460,5980
292,4640,8490
293,3970,9730
294,9800,14020
295,4620,6340
296,4660,7020
297,4820,12390
298,6130,5950
299,6290,20180
300,5530,11100
301,1650,11790
302,2670,5390
303,6590,5030
304,4200,12290
305,4180,7950
306,4420,5580
307,1870,11680
308,5130,7080
309,6060,8600
310,8240,5980
311,4970,9080
312,1970,10360
313,3240,16070
314,3580,12090
315,5530,9450
316,1770,6570
317,4830,14220
318,4010,7190
319,1920,13780
320,3120,5970
321,2870,5850
322,6570,8850
323,5930,5180
324,3240,17480
325,4730,13090
326,6640,14420
327,3510,4390
328,3450,9600
329,4330,14510
330,4470,11510
331,4730,14880
332,2710,13730
333,6680,8050
334,3880,7540
335,12670,17680
336,3820,6380
337,6940,6220
338,7040,10950
339,3320,14980
340,5190,11260
341,6840,5430
342,4400,5980
343,7360,14240
344,4440,8600
345,2630,6340
346,4150,7140
347,3440,7120
348,5740,12500
349,4420,7350
350,6480,5290
351,5760,15520
352,4330,9380
353,6510,2670
354,4630,6960
355,3380,8420
356,4840,8120
357,4240,9260
358,4840,7120
359,2520,14050
360,4950,7140
361,3640,7040
362,4130,5160
363,5020,7290
364,4330,5960
365,6380,9660
366,3960,8200
367,8130,16570
368,2700,7650
369,3060,8820
370,4440,11950
371,5240,4770
372,5730,12040
373,2150,4650
374,4810,15140
375,4440,8710
376,3920,5770
377,8040,6120
378,5930,9260
379,4780,5560
380,4840,18090
381,7700,9220
382,3240,5340
383,5310,15250
384,6340,5710
385,6040,13920
386,9480,14480
387,8310,18910
388,5100,13480
389,2790,5980
390,6060,5960
391,8770,11250
392,3310,6740
393,3640,15280
394,1800,11170
395,3340,12670
396,8170,7810
397,3080,11270
398,6850,8620
399,2140,13490
400,4330,7940
401,5560,7760
402,5070,14730
403,1810,9700
404,4660,18880
405,3300,9920
406,2840,11660
407,4590,4550
408,7060,5190
409,4390,5520
410,4840,11680
411,2850,10710
412,1650,5400
413,3640,9620
414,2370,7540
415,4320,4870
416,7380,5890
417,5040,8470
418,5620,7960
419,4590,8140
420,4330,5440
421,5650,15550
422,4330,8870
423,3650,4990
424,2050,7960
425,2840,11520
426,4570,4770
427,5100,6320
428,2710,5470
429,4740,14120
430,7040,5580
431,2810,8700
432,8240,4590
433,4870,6670
434,2060,16410
435,4380,6310
436,4810,5310
437,5620,5850
438,9080,5920
439,4460,16580
440,4930,3110
441,3800,6090
442,4040,13680
443,9680,6620
444,5220,6700
445,4490,10680
446,4410,17190
447,6520,4350
448,5780,7540
449,6750,6190
450,1650,8760
451,4880,8790
452,4470,9800
453,5140,4450
454,6570,9710
455,6380,6670
456,2800,4800
457,6440,7980
458,5240,9020
459,4330,9460
460,3660,12710
461,4650,5940
462,20150,6460
