Datasets,RandomGhosts,Legacy
1,46990,6440
2,37220,15430
3,62730,21460
4,17810,16030
5,47550,17890
6,20470,22130
7,34710,4950
8,32180,16300
9,27840,23730
10,17690,17590
11,34630,18980
12,49500,22220
13,22900,26020
14,34530,48340
15,50280,18850
16,12530,11540
17,12730,18350
18,29900,33730
19,29610,16450
20,13050,20480
21,43660,16620
22,17040,3140
23,42010,17250
24,33460,19020
25,27970,22170
26,32850,27580
27,25020,18880
28,13580,30750
29,55590,41280
30,24870,17150
31,39490,28690
32,9650,4540
33,29830,8510
34,30600,20710
35,9370,17700
36,27190,72030
37,35060,7960
38,35800,17300
39,23000,5870
40,38980,15280
41,23100,62560
42,40930,32960
43,34430,13570
44,70560,18060
45,9450,17950
46,28990,14090
47,8690,18180
48,27310,19680
49,28380,12180
50,43470,23270
51,58320,23760
52,13940,39420
53,30760,8520
54,24070,22250
55,6140,33080
56,61900,27440
57,46030,29230
58,8520,6760
59,31150,21300
60,30740,19050
61,22670,35360
62,75410,9570
63,15880,18670
64,18830,17870
65,16040,7920
66,17790,5090
67,52120,26090
68,65530,26670
69,25610,17490
70,54550,41260
71,17760,23290
72,18880,33780
73,34810,32320
74,36030,12070
75,3080,4210
76,46210,23230
77,17720,30050
78,20440,4730
79,25270,9100
80,39060,22000
81,36960,15720
82,31910,9900
83,15760,6340
84,48610,23870
85,33710,19480
86,18960,2570
87,38910,28440
88,26800,16950
89,20070,23550
90,18550,6220
91,33790,27130
92,64570,21280
93,32250,12850
94,27660,14230
95,28670,30880
96,5960,26170
97,27610,22310
98,60600,36220
99,39710,8160
100,8770,17050
