Datasets,RandomGhosts,Legacy
1,41610,78360
2,22630,14490
3,81080,9690
4,17240,7120
5,31040,19360
6,55850,24150
7,24020,17470
8,9350,25030
9,19170,8150
10,17490,37460
11,38740,31030
12,9150,28510
13,29330,18300
14,18090,25040
15,31840,52270
16,23880,9540
17,28870,8210
18,18700,4690
19,6810,13280
20,15400,25790
21,9370,48810
22,8360,17250
23,52870,35180
24,28410,28730
25,21790,28100
26,51730,4330
27,52230,13750
28,31040,6230
29,54610,23030
30,37620,33520
31,8970,25970
32,9190,20280
33,31260,24880
34,43130,43310
35,19490,16440
36,41080,47850
37,18230,16480
38,12470,23040
39,9380,33480
40,32450,16230
41,29530,16560
42,24470,31440
43,25730,21900
44,21110,20320
45,6610,15450
46,14250,35970
47,28810,15860
48,8010,7200
49,26220,11300
50,42550,45340
51,17030,21870
52,19640,6520
53,35980,17840
54,7120,16430
55,54360,21290
56,28830,9330
57,25200,24860
58,46760,34880
59,12820,35580
60,21360,21040
61,19870,20480
62,16360,6510
63,31640,15080
64,28640,47280
65,35040,15510
66,25290,45060
67,15310,25430
68,33520,31520
69,13860,17270
70,34040,30050
71,14590,59530
72,45710,32580
73,17400,20850
74,41570,9370
75,15320,17900
76,19880,8300
77,46840,20260
78,13270,16510
79,40880,22020
80,31090,23300
81,24470,32980
82,31270,3760
83,56550,32770
84,33190,4750
85,41660,31290
86,31780,12290
87,23920,20350
88,36390,35430
89,29490,4520
90,32970,20620
91,44260,8040
92,47710,27220
93,16450,25590
94,29450,25510
95,23800,17060
96,42540,28770
97,52190,14980
98,8650,21340
99,19430,33820
100,17800,18260
101,17470,15460
102,41460,23230
103,31950,17250
104,13380,5810
105,8980,6820
106,17860,38930
107,52100,28960
108,35250,16960
109,31420,14390
110,22410,41810
111,38790,9120
112,27280,9550
113,16130,27440
114,38320,13830
115,51410,47900
116,41150,37530
117,32360,26570
118,43990,36400
119,18940,20610
120,19490,7840
121,19940,6630
122,31420,38180
123,35080,51450
124,30820,9870
125,9280,22770
126,7710,23200
127,31340,22210
128,34800,9770
129,16080,27060
130,26590,21070
131,16990,16250
132,8840,25100
133,75440,9560
134,42610,17770
135,17240,25360
136,27070,41450
137,22430,27770
138,32600,8930
139,20020,32290
140,48680,17210
141,42950,34030
142,32010,32180
143,28740,24750
144,39130,17440
145,24740,34110
146,37920,15010
147,59880,3130
148,39830,14030
149,44430,13470
150,26410,28120
151,42390,54210
152,22140,13920
153,21270,26910
154,45730,14540
155,52080,19840
156,19750,57570
157,37310,19620
158,21890,28870
159,29590,26140
160,14250,43390
161,42400,27450
162,15710,3360
163,18830,5670
164,29680,26840
165,47350,24590
166,23430,22010
167,19200,23040
168,34570,30020
169,38160,7300
170,14790,17880
171,55710,24100
172,40890,15480
173,24420,14940
174,33080,31090
175,26670,6570
176,39080,42130
177,9770,37870
178,34280,32750
179,27420,18470
180,30510,36700
181,17180,14570
182,44790,23300
183,30110,8630
184,42090,14220
185,15270,3280
186,23130,16770
187,40830,6130
188,18910,18460
189,17100,33950
190,18000,37260
191,61610,36120
192,35240,25400
193,24040,17470
194,34170,39460
195,34450,7530
196,34970,17840
197,26520,35380
198,27380,20060
199,16630,30120
200,46900,3830
